text,category,source,text_si
dooctor kenek ikmanata one.,medical aid,synthetic,ඩොක්ටර් කෙනෙක් ඉක්මනට ඕනේ.
shelteer supporth one.,shelter,synthetic,shelteer supporth one.
fuel station opn da?,other,synthetic,fuel station opn ද?
shelter ekak hoyaganna help one.,shelter,synthetic,ෂෙල්ටර් එකක් හොයාගන්න හවුල් ඕනේ.
night eka innata plce ne.,shelter,synthetic,නයිට් එක ඉන්නට පොලිසෙ නෑ.
water tank eca damage wela.,food/water,synthetic,water tank eca damage වෙලා.
please send rescue team.,rescue/missing,original,please send rescue team.
safe accommodathion one please.,shelter,synthetic,safe accommodation one please.
"ape gedarata wathura gihin, ikmnt apiwa beragnn enn .",shelter,synthetic,"අපේ ගෙදරට වතුර ගිහින්, ඉක්මනට අපිව බේරගන්න එන්න."
me area eke safe shelter thiyenawada?,shelter,synthetic,මේ area එකේ safe shelter තියෙනවද?
food supplies one urgently.,food/water,synthetic,food supplies one urgently.
missing child cenek hoyanawa.,rescue/missing,synthetic,missing child cenek හොයනවා.
ape putha hoyganna one.,rescue/missing,synthetic,අපේ පුතා හොයාගන්න ඕනේ.
kenek waturat gahaagen ghin.,rescue/missing,synthetic,කෙනෙක් වතුරට ගුහාගෙන ගිහින්.
shelter support one.,shelter,original,shelter support one.
flashlight ekak one.,other,original,flashlight එකක් ඕනේ.
main roaad eka wathurat yata wel.,other,synthetic,මයින් රෝඩ් එක වතුරට යට වෙලා.
medical team ekak one me ara ekata.,medical aid,synthetic,medical team එකක් ඕනේ මේ අර එකට.
safe accommodation one please.,shelter,original,safe accommodation one please.
ape area ekt viyali ahara ewnn plwnd .,food/water,synthetic,අපේ area එකට වියලි ආහාර එවන්න පුලුවන්ද.
please send rescue theam.,rescue/missing,synthetic,please send rescue tham.
mdicine tkak hoyaganna ba.,medical aid,synthetic,මදිකිනේ ටිකක් හොයාගන්න බැ.
baby foood one urgeent.,food/water,synthetic,baby foood one urgeent.
me area eke safe shelter thiyenawada?,shelter,original,මේ area එකේ safe shelter තියෙනවද?
ape seeeya missing.,rescue/missing,synthetic,අපේ සීයා මිසිටින්ග්.
ape nangi hoyaganna ba.,rescue/missing,original,අපේ නංගි හොයාගන්න බැ.
please rescuee karnna.,rescue/missing,synthetic,please rescuee කරන්න.
safe buildiing ekak hoyanna one.,shelter,synthetic,සාෆේ බිලීඩිං එකක් හොයන්න ඕනේ.
aapi foodh nathiwa inne.,food/water,synthetic,ආපි ෆෝද් නැතිව ඉන්නේ.
watura ganna wdihak ne.,food/water,synthetic,වතුර ගන්න විදිහක් නෑ.
safe driinking water one.,food/water,synthetic,safe driinking water one.
drinking water natiwa inne.,food/water,synthetic,drinking water නැතිව ඉන්නේ.
me area eke saafe shelter thiyenawada?,shelter,synthetic,මේ area එකේ saafe shelter තියෙනවද?
food ecak arn enna puluwanda?,food/water,synthetic,ෆෝඩ් ඇකක් අරන් එන්න පුලුවන්ද?
please send rescue tem.,rescue/missing,synthetic,please send rescue them.
kanna dheyak hoyaganna ba.,food/water,synthetic,කන්න දෙයක් හොයාගන්න බැ.
gedara thiyenna baa.,shelter,synthetic,ගෙදර තියෙන්න බෑ.
rescue booat ekak on.,rescue/missing,synthetic,rescue boat එකක් ඕන.
clean water one please.,food/water,original,clean water one please.
family ekata safe place onee.,shelter,synthetic,family එකට safe place ඕනේ.
road conditon eka dannawada?,other,synthetic,road conditon එක දන්නවද?
aapi dan shelter ekak hoyanawa.,shelter,synthetic,ආපි දැන් ෂෙල්ටර් එකක් හොයනවා.
water bottle ekak wath n.,food/water,synthetic,water bottle එකක් වත් නැ.
petrol hoyagannaa ba.,other,synthetic,පීරන් හොයාගන්න බැ.
ape puutha tuwala wela.,medical aid,synthetic,අපේ පුතා තුවාල වෙලා.
medical emergeency ecak.,medical aid,synthetic,medical emergeency ecak.
ape ammata asthma medicine one.,medical aid,original,අපේ අම්මට අස්ථම medicine ඕනේ.
rod ek open da?,other,synthetic,රෝඩ් එක open ද?
ape putha thuwala wla.,medical aid,synthetic,අපේ පුතා තුවාල වෙලා.
elderly keenekta help one.,medical aid,synthetic,elderly keenekta help one.
"ap stuck wela, help karanna.",rescue/missing,synthetic,"අපි ස්ටූක්ක්ක් වෙලා, හවුල් කරන්න."
currenth eka ikmanata denn.,other,synthetic,වෘත් එක ඉක්මනට දෙන්න.
me pattha dangerous dha?,other,synthetic,මේ පැත්ත dangerous ද?
thuwala un kenek innawa.,medical aid,synthetic,තුවාල උන් කෙනෙක් ඉන්නවා.
watura ganna widihak ne.,food/water,original,වතුර ගන්න විදිහක් නෑ.
food supplies thikak one.,food/water,synthetic,food supplies ටිකක් ඕනේ.
drinking water natiwa inne.,food/water,synthetic,drinking water නැතිව ඉන්නේ.
api evacuaate karanna one.,rescue/missing,synthetic,අපි evacuaate කරන්න ඕනේ.
riice saha water one.,food/water,synthetic,riice සහ water one.
ape nngi hoyaganna b.,rescue/missing,synthetic,අපේ නංගි හොයාගන්න බැ.
patient kenekta medicine ne.,medical aid,original,patient කෙනෙක්ට medicine නෑ.
communication center ekak thiyenawada?,other,original,communication center එකක් තියෙනවද?
building ekaa inspect caranna one.,other,synthetic,building එකා inspect කරන්න ඕනේ.
geedara thiyeenna ba.,shelter,synthetic,ගේදර තියෙන්න බෑ.
food relief ekak one.,food/water,original,food relief එකක් ඕනේ.
blood one urgent please.,medical aid,original,blood one urgent please.
thuwal una aya innawa.,medical aid,original,තුවාල උණ එයා ඉන්නවා.
medical team ecak one me area ekat.,medical aid,synthetic,medical team ecak one මේ area එකට.
road eka block wela.,other,original,රෝඩ් එක බ්ලූක් වෙලා.
raain eka nisa shelter one.,shelter,synthetic,රායින් එක නිසා ෂෙල්ටර් ඕනේ.
ape gedara wter ne.,food/water,synthetic,අපේ ගෙදර වතුර නෑ.
tree tik ain karanna one.,other,synthetic,ට්රේ ටික අයින් කරන්න ඕනේ.
aape gedara athule dhanger.,shelter,synthetic,ආපු ගෙදර ඇතුලේ දැනගෙ.
sanitry items one.,other,synthetic,sanitry items one.
clothes thikak one.,other,synthetic,clothes ටිකක් ඕනේ.
foood one pleasee.,food/water,synthetic,ෆූඩොඩ් ඕනේ ෆූඩො.
ape thththa miissing.,rescue/missing,synthetic,අපේ තාත්තා මිස්සින්ගෙ.
safe place ekaak hoyalaa denna.,shelter,synthetic,safe place එකක් හොයලා දෙන්න.
gedara athule wayasaka cenek iinnawa.,rescue/missing,synthetic,ගෙදර ඇතුලේ වයසක සිහිනෙක් ඉන්නවා.
min road eka waturat yatha wel.,other,synthetic,මින් රෝඩ් එක වතුරට යතා වේල.
cenek hoyaganna ba dn.,rescue/missing,synthetic,චෙනෙක් හොයාගන්න බැ දැන්.
food and clean water help one.,food/water,original,food and clean water help one.
apit wiyali ahara ewnn .,food/water,synthetic,අපිට වියලි ආහාර එවන්න.
kids la huungry inn.,food/water,synthetic,kids ල හූංගිරය ඉන්න.
rescue vehicle ekaak one.,rescue/missing,synthetic,rescue vehicle එකක් ඕනේ.
doctoor kenek me paththata one.,medical aid,synthetic,ඩොක්ටෝර් කෙනෙක් මේ පැත්තට ඕනේ.
apit dawas dhekak kanna naa.,food/water,synthetic,අපිට දවස් දෙකක් කන්න නෑ.
api dan safe place ekak hoyanawa.,shelter,original,අපි දැන් safe place එකක් හොයනවා.
teemporary shelter ekak one.,shelter,synthetic,teemporary shelter එකක් ඕනේ.
drinking water nathiwa inne.,food/water,original,drinking water නැතිව ඉන්නේ.
road condition ek dannawada?,other,synthetic,road condition එක දන්නවද?
roadh clearance help on.,other,synthetic,රෝද ක්ලෙරන්සේ හවුල් ඔන.
me pathth dangerous da?,other,synthetic,මේ පැත්ත dangerous ද?
canna deyak ne me gedara.,food/water,synthetic,කන්න දෙයක් නෑ මේ ගෙදර.
hospital trnsport one.,medical aid,synthetic,hospital trnsport ඕනේ.
kanna deyak hoyaganna ba.,food/water,synthetic,කන්න දෙයක් හොයාගන්න බැ.
water supply eca ne.,food/water,synthetic,water supply eca ne.
drinking watr supply karanna.,food/water,synthetic,drinking වතුර supply කරන්න.
shlter support one.,shelter,synthetic,shlter support one.
temporary shelter ekak one.,shelter,original,temporary shelter එකක් ඕනේ.
me area ek safe shelther thiyenawada?,shelter,synthetic,මේ area එක safe shelther තියෙනවද?
eldherly person kenek missing.,rescue/missing,synthetic,eldherly person කෙනෙක් missing.
shelter ekak open karalada?,shelter,synthetic,ෂෙල්ටර් එකක් open කරලද?
ape nangi tham awe na.,rescue/missing,synthetic,අපේ නංගි තාම ආවේ නැ.
emergency medical help denna.,medical aid,original,emergency medical help දෙන්න.
medcine saha docthor help one.,medical aid,synthetic,medcine සහ docthor help one.
food supplis tikak onee.,food/water,synthetic,food supplis ටිකක් ඕනේ.
ape ammata asthmaa medicine one.,medical aid,synthetic,අපේ අම්මට අස්ථමා medicine ඕනේ.
gas cylindeer eka na.,other,synthetic,ගස් cylindeer එක නෑ.
safe place ekak one please api yata wel.,shelter,original,safe place එකක් one please අපි යට වෙලා.
watuura supply eka nawathila.,food/water,synthetic,උඹවිරා පොරොන්දු ඒක නැවතිලා.
please medical teeam ekak hoyal denna.,medical aid,synthetic,please medical ටීඑම් එකක් හොයල දෙන්න.
current eka thiyenne ne.,other,original,current එක තියෙන්නේ නෑ.
driinking water urgntly one.,food/water,synthetic,driinking water urgntly one.
apt arkshitha thankt yanna one.,shelter,synthetic,අපිට ආරක්ෂිත තැනකට යන්න ඕනේ.
ape famly eka homeless wel.,shelter,synthetic,අපේ ෆොම්ලයි එක homeless වෙලා.
kanna deyak hoyaganna ba.,food/water,original,කන්න දෙයක් හොයාගන්න බැ.
flashlight ekak oone.,other,synthetic,flashlight එකක් ඕනේ.
kidhs la hungry inne.,food/water,synthetic,කෙදිසි ලා හංගිරය ඉන්නෙ.
water pump eka wada ne.,other,original,water pump එක වඩා නෑ.
rescue vehiclee eekak one.,rescue/missing,synthetic,rescue vehicule ඒකක ඕනේ.
watura sahaa knna tikak one.,food/water,synthetic,වතුර සහා කන්න ටිකක් ඕනේ.
ikmanata ambulance ekak one.,medical aid,original,ඉක්මනට එම්බුලන්ස් එකක් ඕනේ.
lamaya school idala aw ne.,rescue/missing,synthetic,ළමයා school ඉදලා ආව නේ.
ape brother missing wla.,rescue/missing,synthetic,අපේ brother missing වල.
me thanata aambulance ekak ewanna.,medical aid,synthetic,මේ තැනට ආම්බුලන්ස් එකක් එවන්න.
apit kanna bonna dewal ne.,food/water,original,අපිට කන්න බොන්න දේවල් නෑ.
kanna deyak hoyaganna baa.,food/water,synthetic,කන්න දෙයක් හොයාගන්න බෑ.
clothes tikak one.,other,original,clothes ටිකක් ඕනේ.
patient kenekta immediate help one.,medical aid,synthetic,patient කෙනෙක්ට immediate help one.
kids la huungry inne.,food/water,synthetic,kids ල හූංගිරය ඉන්නේ.
sheltr ekak thiyenawanam kiiyanna.,shelter,synthetic,ෂෙල්ටර් එකක් තියෙනවනම් කියන්න.
lamaya schol idala awe n.,rescue/missing,synthetic,ළමයා ෂෝල් ඉදලා ආවේ නැ.
kanna deyak ne me gedara.,food/water,original,කන්න දෙයක් නෑ මේ ගෙදර.
lamai godak innwa apit kama parkel tkk ewnn plwnd .,food/water,synthetic,ළමයි ගොඩක් ඉන්නවා අපිට කෑම පරකැල ටිකක් එවන්න පුලුවන්ද.
transpoort help one.,other,synthetic,transpoort help one.
food supples tikak one.,food/water,synthetic,food supples ටිකක් ඕනේ.
doctor kenek ikmanata one.,medical aid,original,ඩොක්ටර් කෙනෙක් ඉක්මනට ඕනේ.
baby clothes one.,other,original,baby clothes one.
house eca clean karanna help one.,other,synthetic,house eca clean කරන්න help one.
ambulance ekak ewanna please.,medical aid,original,ambulance එකක් එවන්න please.
safe room ecak one.,shelter,synthetic,safe room ecak one.
gedara athule 5 denek innawa.,rescue/missing,synthetic,ගෙදර ඇතුලේ 5 දෙනෙක් ඉන්නවා.
food and clen water help one.,food/water,synthetic,food and clen water help one.
ape ammta asthma medicine one.,medical aid,synthetic,අපේ අම්මට අස්ථම medicine ඕනේ.
api dan safe plce ekak hyanawa.,shelter,synthetic,අපි දැන් safe plce එකක් හොයනවා.
house eka clean karnna help one.,other,synthetic,house එක clean කරන්න help one.
thuwala una kenk innawa.,medical aid,synthetic,තුවාල උණ කෙනෙක් ඉන්නවා.
ap family eka homeless wel.,shelter,synthetic,අපි පවුල එක homeless වේල.
safe place ekak one plase api yatha wel.,shelter,synthetic,safe place එකක් ඕනේ පලාසේ අපි යතා වෙලා.
shelter ekak open karalada?,shelter,original,ෂෙල්ටර් එකක් open කරලද?
thuwala una keenek innaw.,medical aid,synthetic,තුවාල උණ කාන්තාවෙක් ඉන්නව.
chiild kenek hoyaganna one.,rescue/missing,synthetic,චීල්ඩ් කෙනෙක් හොයාගන්න ඕනේ.
generaal supplies thikak one.,other,synthetic,general supplies තිකකක් ඕනේ.
api building roof eke inne.,rescue/missing,original,අපි building roof එකේ ඉන්නේ.
gedara thiiyenna ba.,shelter,synthetic,ගෙදර තියෙන්න බැ.
communiction center ekak thiiyenawada?,other,synthetic,communiction center එකක් තියෙනවද?
tuwala walata bandage one.,medical aid,synthetic,තුවාල වලට බැඳගේ ඕනේ.
api upakara balaporoththu wenawa.,rescue/missing,synthetic,අපි උපකාර බලාපොරොත්තු වෙනවා.
baby milk saha food on.,food/water,synthetic,baby milk සහ food on.
flood ek nisa trappeed wela.,rescue/missing,synthetic,ෆ්ලෝඩ් එක නිසා තිරපේඩ් වෙලා.
transport heelp one.,other,synthetic,transport help one.
ape area ekt viiyali ahara ewnn plwnd .,food/water,synthetic,අපේ area එකට වියලි ආහාර එවන්න පුලුවන්ද.
clean wateer available da?,food/water,synthetic,clean wateer available ද?
road eka break wla.,other,synthetic,රෝඩ් එක break වෙලා.
food supplies one urgently.,food/water,original,food supplies one urgently.
"lamai innaw, safe place on.",shelter,synthetic,"ළමයි ඉන්නව, safe place on."
ape nang thama awe na.,rescue/missing,synthetic,අපේ නංගි තාම ආවේ නැ.
bonna wtura na.,food/water,synthetic,බොන්න වතුර නෑ.
ape putha thuwala welaa.,medical aid,synthetic,අපේ පුතා තුවාල වෙලා.
food and clean wather help one.,food/water,synthetic,food and clean wather help one.
saf drinking wter one.,food/water,synthetic,සෆි drinking වතුර ඕනේ.
battery kharge karaganna ba.,other,synthetic,බැට්ටර්යි කොහර්ගෙ කරගන්න බැ.
"watura godak wedhi, reskue one.",rescue/missing,synthetic,"වතුර ගොඩක් වැඩි, රැස්කූ ඕනේ."
me thanata ambulaance ekak ewanna.,medical aid,synthetic,මේ තැනට අම්බුලන්ස් එකක් එවන්න.
baby milk sah food one.,food/water,synthetic,baby milk සහ food one.
ape puutha hyaganna one.,rescue/missing,synthetic,අපේ පුතා හොයාගන්න ඕනේ.
"old people innawa, safee place one.",shelter,synthetic,"old people ඉන්නවා, සෆේ place one."
ape family eke sicc aya innawa.,medical aid,synthetic,අපේ පවුල එකේ සිෆික් එයා ඉන්නවා.
family 6 denekta shelter one.,shelter,synthetic,family 6 දෙනෙකුට shelter ඕනේ.
rescue help denna puluwandha?,rescue/missing,synthetic,rescue help දෙන්න පුලුවන්ද?
curreent eka ne me area eeke.,other,synthetic,කුරුරේන්ට ඒක නෑ මේ area ඒකේ.
ikmanat ambulance ekak onee.,medical aid,synthetic,ඉක්මනට එම්බුලන්ස් එකක් ඕනේ.
mee area ekataa yanna puluwanda?,other,synthetic,මේ area එකට යන්න පුලුවන්ද?
road eeka break wela.,other,synthetic,රෝඩ් ඒක break වෙලා.
safe placee ekaak one please api yata wel.,shelter,synthetic,safe placee එකක one please අපි යට වෙලා.
geeneral supplies thikak one.,other,synthetic,geeneral supplies ටිකක් ඕනේ.
wessa nisa gedara innata ba.,shelter,original,වැස්ස නිසා ගෙදර ඉන්නට බැ.
foood relief center eca koheda?,food/water,synthetic,ෆෝඔඩ් relief center eca කොහෙද?
ape brother mssing wela.,rescue/missing,synthetic,අපේ brother මස්සින්ගෙ වෙලා.
api roof eeke inne.,rescue/missing,synthetic,අපි රෝෆ් එකේ ඉන්නේ.
medhicine tikak hoyaganna ba.,medical aid,synthetic,මැඩීකිනේ ටිකක් හොයාගන්න බැ.
kenek missing wela.,rescue/missing,synthetic,කෙනෙක් මිස්සින්ගෙ වෙලා.
family ekata themporary place on.,shelter,synthetic,family එකට themporary place on.
lamaya school idala awe ne.,rescue/missing,original,ළමයා school ඉදලා ආවේ නැ.
ape gedara waater ne.,food/water,synthetic,අපේ ගෙදර වතුරෙ නෑ.
ikmnata ambulance ekak one.,medical aid,synthetic,ඉක්මනට එම්බුලන්ස් එකක් ඕනේ.
blankts tikak one.,other,synthetic,blankts ටිකක් ඕනේ.
ape famiily eke sick ay innawa.,medical aid,synthetic,අපේ ෆමයිලයි එකේ සිිකික් අය ඉන්නවා.
rice tiikak hari ewanna.,food/water,synthetic,රිස් ටිකක් හරි එවන්න.
ape family eke sick aya innawa.,medical aid,original,අපේ පවුල එකේ සිකුක් එයා ඉන්නවා.
geeneral suppliees tikak one.,other,synthetic,geeneral suppliees ටිකක් ඕනේ.
ape brother missing wela.,rescue/missing,original,අපේ brother missing වෙලා.
baaby clothes one.,other,synthetic,බායි clothes ඕනේ.
api rooof eke inne.,rescue/missing,synthetic,අපි රෝෆ් එකේ ඉන්නේ.
safe room ekak one.,shelter,synthetic,safe room එකක් ඕනේ.
api food nathiiwa inne.,food/water,synthetic,අපි ෆෝඩ් නැතිව ඉන්නේ.
apit arakshitha thankt yanna one.,shelter,original,අපිට ආරක්ෂිත තැනකට යන්න ඕනේ.
ape gedara pathient kenek innawa.,medical aid,synthetic,අපේ ගෙදර පැතිනට කෙනෙක් ඉන්නවා.
clothees tikk one.,other,synthetic,clothees ටිකක් ඕනේ.
gedara athule ayaa beragnn udhau krnna .,rescue/missing,synthetic,ගෙදර ඇතුලේ එයා බේරගන්න උදවු කරන්න.
safe room ecak on.,shelter,synthetic,safe room ecak on.
main roaad eka waturat yata wel.,other,synthetic,මයින් රෝඩ් එක වතුරට යට වෙලා.
ape putha hoyaganna one.,rescue/missing,synthetic,අපේ පුතා හොයාගන්න ඕනේ.
ape area ek inn arakshitha thanak ne.,shelter,synthetic,අපේ area එක ඉන්න ආරක්ෂිත තැනක් නෑ.
"ape gedarata watura gihin, ikmnt apiwa beragnn enn .",shelter,synthetic,"අපේ ගෙදරට වතුර ගිහින්, ඉක්මනට අපිව බේරගන්න එන්න."
phne network ek kawada enawada?,other,synthetic,පුහුණු network එක කවදා එනවද?
sheelter ekak denna puluwanda?,shelter,synthetic,ෂීල්ටර් එකක් දෙන්න පුලුවන්ද?
apii dan shelter ekak hooyanawa.,shelter,synthetic,අපේ දැන් ෂෙල්ටර් එකක් හොයනවා.
medical officer kenek oone.,medical aid,synthetic,medical officer කෙනෙක් ඕනේ.
patient kenekta medcine n.,medical aid,synthetic,patient කෙනෙක්ට medcine නැ.
me area eke situation eka kohomada?,other,synthetic,මේ area එකේ situation එක කොහොමද?
foodh relief center eka koheda?,food/water,synthetic,ෆෝඩ් relief center එක කොහෙද?
lamai godak innwa apit kma parcel tkk ewnn plwnd .,food/water,synthetic,ළමයි ගොඩක් ඉන්නවා අපිට කම පරිසෙල් ටිකක් එවන්න පුලුවන්ද.
flashlight ecak one.,other,synthetic,flashlight ecak one.
rain eka nisa sheelter on.,shelter,synthetic,රයන් එක නිසා ෂීල්ටර් ඕනි.
apii upacara balaporoththu wenawa.,rescue/missing,synthetic,අපී උපකාර බලාපොරොත්තු වෙනවා.
clean water available da?,food/water,original,clean water available ද?
safe drinking wather one.,food/water,synthetic,safe drinking වතුර ඕනේ.
safe accommodation one pleas.,shelter,synthetic,safe accommodation one pleas.
safe accommodation on please.,shelter,synthetic,safe accommodation on please.
food relief ekak one.,food/water,synthetic,food relief එකක් ඕනේ.
doctor kenek ikmanat one.,medical aid,synthetic,ඩොක්ටර් කෙනෙක් ඉක්මනට ඕනේ.
baby kenek sick wela innwa .,medical aid,original,baby කෙනෙක් sick වෙලා ඉන්නවා.
petrol hoyaganna ba.,other,original,පීරන් හොයාගන්න බැ.
kenek watura gihin missing.,rescue/missing,synthetic,කෙනෙක් වතුර ගිහින් මස්සින්ගෙ.
"ape gedarata watura gihin, ikmnt apiwa beragnn enn .",shelter,synthetic,"අපේ ගෙදරට වතුර ගිහින්, ඉක්මනට අපිව බේරගන්න එන්න."
safe building ecak hoyann one.,shelter,synthetic,safe building ecak හොයන්න ඕනේ.
rescue boat ekaak ewaanna.,rescue/missing,synthetic,rescue බෝට් එකක් එවන්න.
docthor cenek contact karanna one.,medical aid,synthetic,ඩොක්ටර් සීනේක් contact කරන්න ඕනේ.
ape nangi hoyaganna ba.,rescue/missing,synthetic,අපේ නංගි හොයාගන්න බැ.
food supplies one urgently.,food/water,synthetic,food supplies one urgently.
"patint kenk innawa, medical help one.",medical aid,synthetic,"පැටිනුත් කෙනෙක් ඉන්නවා, medical help one."
road condition eka dannawada?,other,original,road condition එක දන්නවද?
current eca thiyenne ne.,other,synthetic,current ඒකා තියෙන්නෙ නෑ.
emergency medcal hlp denna.,medical aid,synthetic,emergency medcal හල්ප දෙන්න.
medical emergency ekak.,medical aid,original,medical emergency එකක්.
ape area eke inn arakshitha thanak ne.,shelter,synthetic,අපේ area එකේ ඉන්න ආරක්ෂිත තැනක් නෑ.
apit viyali ahara ewnn .,food/water,synthetic,අපිට වියලි ආහාර එවන්න.
child keneek hoyaganna one.,rescue/missing,synthetic,child කෙනීෙක් හොයාගන්න ඕනේ.
ape area ekata dry rations one.,food/water,original,අපේ area එකට dry rations one.
"wathura godak weedi, rescue one.",rescue/missing,synthetic,"වතුර ගොඩක් වීදි, rescue ඕනේ."
gedara wathura purila.,shelter,synthetic,ගෙදර වතුර පිරිලා.
family ekataa teemporary place one.,shelter,synthetic,family එකට teemporary place one.
sick patient kenek rescue karanna on.,medical aid,synthetic,sick patient කෙනෙක් rescue කරන්න ඕන.
rike tikaak hari ewanna.,food/water,synthetic,රිකී ටිකක් හරි එවන්න.
missing peerson cenek hoyanawa.,rescue/missing,synthetic,මිස්සින්ගෙ පීරොන්ස් සීනෙක් හොයනවා.
driinking water urgently one.,food/water,synthetic,driinking water urgently one.
patient keneek stuck wela.,medical aid,synthetic,patient කෙනෙකු ස්ටූක්ක්ක් වෙලා.
safe room ekak one.,shelter,original,safe room එකක් ඕනේ.
gedara roof eca damage wela.,shelter,synthetic,ගෙදර රෝෆ් ඒකා damage වෙලා.
ape family eke kenektha medical help one.,medical aid,synthetic,අපේ පවුල එකේ කෙනෙකුට medical help ඕනේ.
ape family eka homeless wel.,shelter,synthetic,අපේ පවුල එක homeless වේල.
gedara athule aya beragnn udau krnn .,rescue/missing,synthetic,ගෙදර ඇතුලේ අය බේරගන්න උදවු කරන්න.
kann deyak ne me gedara.,food/water,synthetic,කන්න දෙයක් නෑ මේ ගෙදර.
fuel station open daa?,other,synthetic,fuel station open ද?
